district_name,state_name,year,season,crop,yield,crop_type,avg_temp,total_precip,avg_humidity,avg_windspeed,district_x,state_x,data_points,district_y,state_y,loamy_alfisols_level,ustalf/ustolls_level,loamy_alfisol_level,vertisols_level,vertic_soils_level,inceptisols_level,verrtisols_level,orthids_level,sandy_alfisol_level,sandy_alfisols_level,vertic_sols_level,udupts/udalfs_level,vrtic_soils_level,verti_sols_level,pssaments_level,vertic_osils_level,pssamnets_level,udolls/udalfs_level,innceptisols_level,crop_code,area_unit,production_unit,yield_unit,id,yield_value,crop_area,crop_production,yield_calculated
east godavari,andhra pradesh,2015.0,kharif,arecanut,3.15,Spices,28.750140186915893,1011.88,77.06705607476637,2.217943925233645,East Godavari,Andhra Pradesh,214.0,East Godavari,Andhra Pradesh,,,,,,,,extreme,low,,,,,,,,,,,507,Hectare,Tonnes,Tonnes/Hectare,,,20.0,63.0,3.15
chittoor,andhra pradesh,2015.0,kharif,arhar/tur,0.29,Pulses,26.89415887850468,624.84,67.80102803738318,2.8238317757009344,Chittoor,Andhra Pradesh,214.0,Chittoor,Andhra Pradesh,,,,,,,,low,high_extreme,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,6782.0,1987.0,0.2929814214096137
east godavari,andhra pradesh,2015.0,kharif,arhar/tur,0.42,Pulses,28.750140186915893,1011.88,77.06705607476637,2.217943925233645,East Godavari,Andhra Pradesh,214.0,East Godavari,Andhra Pradesh,,,,,,,,extreme,low,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,2871.0,1200.0,0.4179728317659352
east godavari,andhra pradesh,2015.0,rabi,arhar/tur,0.41,Pulses,24.40833333333333,123.88,71.423,1.9660833333333327,East Godavari,Andhra Pradesh,120.0,East Godavari,Andhra Pradesh,,,,,,,,extreme,low,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,104.0,43.0,0.41346153846153844
east godavari,andhra pradesh,2015.0,rabi,arhar/tur,0.41,Pulses,25.699615384615385,241.69,70.5471978021978,1.859065934065934,East Godavari,Andhra Pradesh,182.0,East Godavari,Andhra Pradesh,,,,,,,,extreme,low,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,104.0,43.0,0.41346153846153844
guntur,andhra pradesh,2015.0,kharif,arhar/tur,1.21,Pulses,29.83252336448598,717.55,69.57556074766354,2.501495327102804,Guntur,Andhra Pradesh,214.0,Guntur,Andhra Pradesh,,,,low,,,,moderate,low,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,20269.0,24444.0,1.2059795747200157
guntur,andhra pradesh,2015.0,rabi,arhar/tur,1.21,Pulses,24.919666666666664,106.16,68.27241666666667,1.94025,Guntur,Andhra Pradesh,120.0,Guntur,Andhra Pradesh,,,,low,,,,moderate,low,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,1412.0,1703.0,1.2060906515580736
guntur,andhra pradesh,2015.0,rabi,arhar/tur,1.21,Pulses,26.2206043956044,171.49,67.39021978021978,1.8942307692307687,Guntur,Andhra Pradesh,182.0,Guntur,Andhra Pradesh,,,,low,,,,moderate,low,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,1412.0,1703.0,1.2060906515580736
krishna,andhra pradesh,2015.0,kharif,arhar/tur,0.68,Pulses,29.314719626168227,873.7299999999999,77.45331775700936,3.980140186915888,Krishna,Andhra Pradesh,214.0,Krishna,Andhra Pradesh,moderate,,,,,,,moderate,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,1114.0,761.0,0.6831238779174147
kurnool,andhra pradesh,2015.0,kharif,arhar/tur,0.35,Pulses,29.15700934579439,491.68,60.956261682243,3.0573831775700926,Kurnool,Andhra Pradesh,214.0,Kurnool,Andhra Pradesh,,,,,moderate,,,,extreme,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,56949.0,20160.0,0.3540009482168256
kurnool,andhra pradesh,2015.0,rabi,arhar/tur,0.35,Pulses,24.54216666666667,32.059999999999995,56.10933333333334,2.38825,Kurnool,Andhra Pradesh,120.0,Kurnool,Andhra Pradesh,,,,,moderate,,,,extreme,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,2532.0,896.0,0.353870458135861
kurnool,andhra pradesh,2015.0,rabi,arhar/tur,0.35,Pulses,25.728626373626376,85.19,56.04747252747252,2.2695604395604394,Kurnool,Andhra Pradesh,182.0,Kurnool,Andhra Pradesh,,,,,moderate,,,,extreme,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,2532.0,896.0,0.353870458135861
srikakulam,andhra pradesh,2015.0,kharif,arhar/tur,0.23,Pulses,28.73822429906542,1318.85,76.54574766355141,2.348551401869159,Srikakulam,Andhra Pradesh,214.0,Srikakulam,Andhra Pradesh,,,,,,,,high_extreme,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,634.0,144.0,0.22712933753943218
srikakulam,andhra pradesh,2015.0,rabi,arhar/tur,0.21,Pulses,23.033666666666665,140.98,71.292,1.6975,Srikakulam,Andhra Pradesh,120.0,Srikakulam,Andhra Pradesh,,,,,,,,high_extreme,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,14.0,3.0,0.21428571428571427
srikakulam,andhra pradesh,2015.0,rabi,arhar/tur,0.21,Pulses,24.575384615384618,264.41,70.23631868131868,1.727967032967033,Srikakulam,Andhra Pradesh,182.0,Srikakulam,Andhra Pradesh,,,,,,,,high_extreme,,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,14.0,3.0,0.21428571428571427
west godavari,andhra pradesh,2015.0,kharif,arhar/tur,0.9,Pulses,28.97579439252336,1036.14,78.52079439252337,3.190467289719626,West Godavari,Andhra Pradesh,214.0,West Godavari,Andhra Pradesh,,,,,,,,moderate,moderate,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,611.0,552.0,0.9034369885433715
west godavari,andhra pradesh,2015.0,rabi,arhar/tur,0.9,Pulses,25.127666666666663,146.04000000000002,73.18325000000002,2.9421666666666666,West Godavari,Andhra Pradesh,120.0,West Godavari,Andhra Pradesh,,,,,,,,moderate,moderate,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,581.0,525.0,0.9036144578313253
west godavari,andhra pradesh,2015.0,rabi,arhar/tur,0.9,Pulses,26.194835164835165,272.71000000000004,72.73857142857142,2.714615384615384,West Godavari,Andhra Pradesh,182.0,West Godavari,Andhra Pradesh,,,,,,,,moderate,moderate,,,,,,,,,,,202,Hectare,Tonnes,Tonnes/Hectare,,,581.0,525.0,0.9036144578313253
chittoor,andhra pradesh,2015.0,kharif,bajra,2.81,Cereals,26.89415887850468,624.84,67.80102803738318,2.8238317757009344,Chittoor,Andhra Pradesh,214.0,Chittoor,Andhra Pradesh,,,,,,,,low,high_extreme,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare,,,2374.0,6669.0,2.809182813816344
east godavari,andhra pradesh,2015.0,kharif,bajra,0.95,Cereals,28.750140186915893,1011.88,77.06705607476637,2.217943925233645,East Godavari,Andhra Pradesh,214.0,East Godavari,Andhra Pradesh,,,,,,,,extreme,low,,,,,,,,,,,103,Hectare,Tonnes,Tonnes/Hectare,,,65.0,62.0,0.9538461538461539
