district,state,year,season,avg_temp,total_precip,avg_humidity,avg_windspeed,data_points
Adilabad,Telangana,2019,winter,21.51925,25.83,57.98291666666667,1.6791666666666667,120
Adilabad,Telangana,2019,summer,34.380560747663544,12.58,24.108785046728972,2.466728971962617,107
Adilabad,Telangana,2019,kharif,30.03630841121495,906.5699999999999,60.8017289719626,2.632710280373831,214
Adilabad,Telangana,2019,rabi,23.474835164835167,121.94,57.339120879120884,1.719010989010989,182
Ahmedabad,Gujarat,2019,winter,20.897916666666667,7.300000000000001,50.43208333333334,1.97025,120
Ahmedabad,Gujarat,2019,summer,32.181869158878506,28.68,30.40757009345795,2.695233644859813,107
Ahmedabad,Gujarat,2019,kharif,30.612429906542058,970.26,62.24004672897197,2.8226168224299064,214
Ahmedabad,Gujarat,2019,rabi,22.789395604395605,33.58,51.292967032967034,1.948076923076923,182
Ahmednagar,Maharashtra,2019,winter,21.867666666666665,16.299999999999997,51.97441666666667,1.88225,120
Ahmednagar,Maharashtra,2019,summer,30.93981308411215,13.940000000000001,29.033271028037383,3.0099999999999993,107
Ahmednagar,Maharashtra,2019,kharif,27.956355140186915,598.6,61.32761682242992,3.6188317757009347,214
Ahmednagar,Maharashtra,2019,rabi,23.25362637362637,207.17000000000004,52.08868131868132,1.9502197802197805,182
Adilabad,Telangana,2015,winter,23.788833333333333,41.580000000000005,44.45641666666667,1.8105,120
Adilabad,Telangana,2015,summer,31.88579439252336,155.69,38.15271028037383,2.422616822429907,107
Adilabad,Telangana,2015,kharif,29.297242990654205,756.19,61.99897196261683,2.556588785046729,214
Adilabad,Telangana,2015,rabi,25.021373626373627,81.38000000000001,47.7345054945055,1.7711538461538463,182
Adilabad,Telangana,2020,winter,21.0605,26.309999999999995,64.6115,1.8211666666666666,120
Adilabad,Telangana,2020,summer,32.344112149532705,160.32,37.24999999999999,2.1334579439252335,107
Adilabad,Telangana,2020,kharif,29.04915887850467,1008.6800000000001,66.7742523364486,2.1150934579439253,214
Adilabad,Telangana,2020,rabi,23.0311475409836,118.74,63.781092896174854,1.8148633879781422,183
Agra,Uttar Pradesh,2017,winter,18.31441666666667,25.22,35.68875,1.5746666666666664,120
Agra,Uttar Pradesh,2017,summer,32.61560747663552,56.38,22.24579439252336,2.264392523364486,107
Agra,Uttar Pradesh,2017,kharif,32.51546728971963,414.18999999999994,43.32906542056074,2.135981308411215,214
Agra,Uttar Pradesh,2017,rabi,21.057417582417585,39.870000000000005,34.825824175824174,1.5956043956043955,182
Ahmednagar,Maharashtra,2017,winter,21.82408333333333,2.65,44.80383333333332,1.802833333333333,120
Ahmednagar,Maharashtra,2017,summer,30.320093457943926,94.99,32.77523364485982,2.7844859813084115,107
Ahmednagar,Maharashtra,2017,kharif,27.587383177570096,709.8300000000002,61.799392523364496,3.3112149532710276,214
